trainer/Advantage Score Max,trainer/Advantage Score Mean,trainer/Advantage Score Min,trainer/Advantage Score Std,trainer/Advantage Weights Max,trainer/Advantage Weights Mean,trainer/Advantage Weights Min,trainer/Advantage Weights Std,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/batch,trainer/epoch_time,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/std Max,trainer/policy/std Mean,trainer/policy/std Min,trainer/policy/std Std,trainer/rewards Max,trainer/rewards Mean,trainer/rewards Min,trainer/rewards Std,trainer/terminals Max,trainer/terminals Mean,trainer/terminals Min,trainer/terminals Std
2.564775e-05,-0.0011653681,-0.0023796558,0.00068046886,0.007831125,0.0078125,0.0077935425,1.0633843e-05,54.348278,47.283794,29.710745,3.9306595,47.28411,0.0,-0.9688074,-1.0005484,0.17400299,0.0,-1.3636424e-05,-0.0005031034,6.956594e-05,-4.0939525e-05,-0.0015015624,-0.0027995543,0.00077658804,0.9688378,0.96591765,0,0.012323141098022461,0.00077586056,-7.0070355e-06,-0.0007356327,0.00019895179,0.049787067,0.049787063,0.049787067,3.7252903e-09,0.0,-0.96875,-1.0,0.17399263,0.0,0.0,0.0,0.0
0.23722744,-0.03678493,-0.32256365,0.09203689,0.013291922,0.0078125,0.0043386985,0.0014138714,52.89921,45.05619,34.25691,3.8743951,49.252007,-2.5784483,-4.2206345,-4.755529,0.29294932,-2.0985677,-4.210522,-4.84826,0.35092536,-2.0816329,-4.2207804,-4.880683,0.35574487,0.010228812,0.010997125,1000,8.083014965057373,0.9767402,-0.17521591,-0.995968,0.5413261,0.062370732,0.054314915,0.043296985,0.0035876303,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
0.15582943,-0.04122675,-0.3118019,0.087891236,0.011411628,0.0078125,0.004478867,0.0013521184,53.549236,44.503475,33.071674,3.6228676,52.96451,-2.9287858,-8.393581,-10.560584,1.1492834,-3.3546097,-8.479673,-11.04968,1.1819844,-3.317035,-8.447305,-10.91945,1.1754696,0.030637102,0.0271896,2000,8.1421058177948,0.9856393,-0.16255803,-0.99495804,0.5432152,0.07584428,0.055940755,0.025001979,0.009994465,0.0,-0.9765625,-1.0,0.1512884,0.0,0.0,0.0,0.0
0.39200306,-0.036256973,-0.5272975,0.12826315,0.017799402,0.0078125,0.0028308125,0.002106354,52.84632,44.253014,30.28187,4.038575,56.600677,-3.5676546,-12.410738,-14.453817,2.0691671,-3.85586,-12.345516,-14.35259,1.9683765,-3.9036558,-12.357174,-14.430055,1.981905,0.04786884,0.041323964,3000,11.523145914077759,0.9852086,-0.14043483,-0.9955426,0.54246885,0.08691598,0.057899047,0.016569722,0.016077237,0.0,-0.9453125,-1.0,0.22736925,0.0,0.0,0.0,0.0
0.2704792,-0.055809323,-0.68871975,0.13247469,0.014536261,0.0078124995,0.002134534,0.0018604051,51.76682,44.797615,34.153587,3.8705428,61.508713,-4.241522,-16.716938,-18.983316,2.456654,-3.9768527,-16.718166,-19.018982,2.4664664,-4.1184072,-16.709156,-19.242458,2.4572713,0.029455496,0.031299207,4000,11.789167165756226,0.9857033,-0.20246606,-0.9908775,0.5470294,0.09717996,0.060201302,0.013276203,0.021222444,0.0,-0.9765625,-1.0,0.1512884,0.0,0.0,0.0,0.0
0.32385445,-0.058383714,-0.5853319,0.13846263,0.01620306,0.0078125,0.0026295886,0.0019539676,53.88962,44.12565,32.41353,3.7794206,64.468994,-4.1948514,-20.322672,-23.43345,3.1133997,-4.158637,-20.329226,-23.525196,3.0299947,-4.172592,-20.351313,-23.657625,3.067148,0.04091141,0.038748354,5000,11.97810411453247,0.9875853,-0.17120166,-0.99055856,0.5439467,0.1117877,0.06263803,0.011867798,0.025150815,0.0,-0.96875,-1.0,0.17399263,0.0,0.0,0.0,0.0
0.35211182,-0.056927204,-0.571434,0.12775351,0.01715642,0.0078125,0.002705484,0.0019612804,53.370712,44.196342,32.56711,3.7010067,68.88588,-5.219646,-24.69505,-28.047094,2.89565,-5.0181537,-24.654583,-27.721592,2.9027305,-4.93695,-24.702114,-27.93621,2.9235308,0.04210225,0.04987128,6000,12.378953695297241,0.9879491,-0.18291883,-0.98781466,0.55124044,0.12627327,0.06482251,0.011181486,0.02830858,0.0,-0.984375,-1.0,0.12401959,0.0,0.0,0.0,0.0
0.3800087,-0.05799798,-0.54008484,0.14824611,0.01798715,0.0078124995,0.0028561384,0.0022665367,52.073963,43.718613,33.443947,3.6689348,71.54086,-4.124348,-27.757639,-34.17663,4.612067,-4.1683726,-27.76965,-34.075935,4.613186,-4.0851135,-27.845928,-33.885315,4.645355,0.05168626,0.068252474,7000,10.601633310317993,0.9935187,-0.15329123,-0.9958871,0.5452328,0.1385976,0.06628241,0.010801982,0.030873582,0.0,-0.9609375,-1.0,0.1937437,0.0,0.0,0.0,0.0
0.49435616,-0.036113687,-0.5275135,0.16852559,0.021290893,0.0078125,0.0027580946,0.00291455,51.446907,43.474804,30.599575,4.360962,74.77052,-9.17278,-31.340286,-35.576775,4.610438,-9.447479,-31.260649,-35.36699,4.6059675,-9.546497,-31.253235,-35.443806,4.592602,0.07220284,0.07062194,8000,10.14985990524292,0.98837745,-0.16779874,-0.9925481,0.55374604,0.14644115,0.06666371,0.010668207,0.03246328,0.0,-0.96875,-1.0,0.17399263,0.0,0.0,0.0,0.0
0.25473404,-0.08213158,-2.0119238,0.24952888,0.014195384,0.0078125,0.00015252926,0.0023853183,50.522587,43.769985,32.96281,3.6019514,77.385086,-5.626055,-33.649433,-43.7775,7.284952,-6.0651097,-33.57336,-43.63672,7.195934,-5.8427463,-33.61924,-43.133595,7.214231,0.09606457,0.090103336,9000,9.802880764007568,0.99483484,-0.15418246,-0.9982519,0.54322284,0.15086205,0.06645203,0.010334726,0.03342371,0.0,-0.9375,-1.0,0.24206147,0.0,0.0,0.0,0.0
0.40094185,-0.08053264,-0.5712948,0.17061196,0.01934145,0.0078124995,0.0027670374,0.0026392075,52.952236,44.454346,35.888515,3.6603293,82.19562,-8.414079,-37.828632,-44.360786,5.3453236,-8.535431,-37.722065,-44.285675,5.3251944,-8.121573,-37.697132,-44.52326,5.377637,0.07187494,0.086302295,10000,10.0706307888031,0.99175423,-0.16424005,-0.99861336,0.5458488,0.15160215,0.065884635,0.010204577,0.033665642,0.0,-0.984375,-1.0,0.12401959,0.0,0.0,0.0,0.0
0.34334183,-0.08862497,-0.81819916,0.19199255,0.017364604,0.0078125,0.0017012308,0.0026411118,52.14353,44.887917,33.920025,3.9852233,85.280075,-5.720726,-40.491486,-47.448692,6.6405296,-5.8825803,-40.428696,-47.839012,6.6429677,-5.7038894,-40.33925,-47.924873,6.648578,0.06793374,0.09124535,11000,10.464115142822266,0.9920595,-0.15993503,-0.99894494,0.5451404,0.15078,0.06530577,0.010020338,0.03371478,0.0,-0.96875,-1.0,0.17399263,0.0,0.0,0.0,0.0
0.5,-0.09688409,-0.6100998,0.18112807,0.02415981,0.0078125,0.0026234519,0.002943426,53.21005,45.466385,30.54775,3.6211786,88.8018,-3.5209641,-43.38382,-51.220848,8.051947,-3.5083826,-43.323746,-50.90597,7.9985967,-3.8502665,-43.275047,-50.656525,8.008928,0.11776048,0.12125844,12000,10.731502294540405,0.99118894,-0.16711582,-0.9993366,0.5467776,0.15181772,0.064747445,0.010029263,0.033725265,0.0,-0.9609375,-1.0,0.1937437,0.0,0.0,0.0,0.0
0.4745407,-0.09067482,-1.458746,0.2767025,0.021400737,0.0078125,0.00044791668,0.0036174466,54.447193,45.6542,34.339848,3.7639709,91.05874,-5.2531247,-45.381355,-54.433655,8.846125,-4.9172583,-45.38943,-54.570953,8.85077,-4.9007707,-45.387215,-55.206856,8.80849,0.10475861,0.11191105,13000,11.322378158569336,0.9903813,-0.16157204,-0.99725646,0.5489485,0.15176605,0.06440679,0.009880725,0.03369297,0.0,-0.9765625,-1.0,0.1512884,0.0,0.0,0.0,0.0
0.46328354,-0.09070436,-1.06007,0.21316029,0.021947546,0.0078125,0.0010428405,0.0027625037,53.6718,45.923126,37.408768,3.522505,94.38504,-3.602875,-48.471634,-58.115185,7.9929433,-3.209435,-48.442627,-58.202953,8.065597,-3.6848335,-48.400124,-58.886387,8.041091,0.12106897,0.1325704,14000,11.981224060058594,0.9915472,-0.16362004,-0.9991534,0.54425627,0.15209764,0.064223394,0.009846053,0.03376469,0.0,-0.9765625,-1.0,0.1512884,0.0,0.0,0.0,0.0
