Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/env_infos/final/goal_achieved Max,eval/env_infos/final/goal_achieved Mean,eval/env_infos/final/goal_achieved Min,eval/env_infos/final/goal_achieved Std,eval/env_infos/goal_achieved Max,eval/env_infos/goal_achieved Mean,eval/env_infos/goal_achieved Min,eval/env_infos/goal_achieved Std,eval/env_infos/initial/goal_achieved Max,eval/env_infos/initial/goal_achieved Mean,eval/env_infos/initial/goal_achieved Min,eval/env_infos/initial/goal_achieved Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/env_infos/final/goal_achieved Max,expl/env_infos/final/goal_achieved Mean,expl/env_infos/final/goal_achieved Min,expl/env_infos/final/goal_achieved Std,expl/env_infos/goal_achieved Max,expl/env_infos/goal_achieved Mean,expl/env_infos/goal_achieved Min,expl/env_infos/goal_achieved Std,expl/env_infos/initial/goal_achieved Max,expl/env_infos/initial/goal_achieved Mean,expl/env_infos/initial/goal_achieved Min,expl/env_infos/initial/goal_achieved Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/total (s),time/training (s),trainer/Advantage Score Max,trainer/Advantage Score Mean,trainer/Advantage Score Min,trainer/Advantage Score Std,trainer/Advantage Weights Max,trainer/Advantage Weights Mean,trainer/Advantage Weights Min,trainer/Advantage Weights Std,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/std Max,trainer/policy/std Mean,trainer/policy/std Min,trainer/policy/std Std,trainer/rewards Max,trainer/rewards Mean,trainer/rewards Min,trainer/rewards Std,trainer/terminals Max,trainer/terminals Mean,trainer/terminals Min,trainer/terminals Std
0,0,0.98752344,-0.19598904,-0.99884874,0.5596418,-5.098761907527225,5,-2.9083265922178896,-5.098761907527225,-7.476006821658918,1.8921326332832715,-0.00727825211476131,-0.025493809537636126,-0.05541631266319135,0.012943880940795138,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,5,1000,200,200.0,200,0.0,1.2944391,-0.17584848,-1.1685736,0.54189265,-5.645432773629585,5,-4.628231734586409,-5.645432773629585,-6.647872024042819,0.7159884418902739,-0.01556692363028278,-0.028227163868147928,-0.04814209298190415,0.0067114532643933284,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,10,2000,200,200.0,200,0.0,100937,0.005642138999974122,37.59592986400094,1.8782637910007907,0.897900727999513,0.007932025000627618,0.01932609399955254,320.57529828100087,34.78686508700048,0.5,-0.16814683,-2.4733925,0.3447092,0.00316177,0.00097656244,8.2656e-06,0.00047394322,56.98049,47.399708,32.26067,3.7999606,115.9819,-0.8176837,-68.9293,-83.82909,13.20417,-0.5092884,-68.5776,-83.698135,13.213547,-0.8611342,-68.50772,-83.96456,13.171355,0.40591013,0.5351424,1000,0.9992601,-0.16815428,-0.99997056,0.54626536,0.15150662,0.06149327,0.0089766625,0.03373455,0.0,-0.9450351,-1.0,0.22641918,0.0,0.0,0.0,0.0
1,1,0.98932976,-0.19307989,-0.99925643,0.54594195,-4.905563543614559,5,-2.567920599855086,-4.905563543614559,-6.884740450386016,1.6531873922233122,-0.0025182222452064386,-0.024527817718072796,-0.049154029098178814,0.01187649975654985,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,10,2000,200,200.0,200,0.0,1.1562626,-0.2531745,-1.17765,0.5439566,-6.629157060667479,5,-4.893473598600851,-6.629157060667479,-8.024958438014846,1.1987996027544328,-0.021054528957181653,-0.0331457853033374,-0.051056940108007313,0.008574566453300948,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,15,3000,200,200.0,200,0.0,101937,0.005927341997448821,34.995650567994744,0.9434049459996459,0.8532439459995658,0.008494159999827389,0.010892484999203589,355.5751714129947,33.17368768899905,0.5,-0.16468927,-2.9586105,0.35018024,0.0031160365,0.0009765625,3.0866802e-06,0.0004914352,57.35146,48.08932,28.730677,3.823441,118.415375,-0.58075994,-70.20053,-88.17013,13.410877,-0.3761299,-70.25854,-88.34494,13.425298,-0.675717,-70.315216,-89.281044,13.436486,0.23205753,0.29662812,2000,0.9995414,-0.17023198,-0.99999547,0.54568595,0.15104748,0.060541525,0.008333333,0.03373383,0.0,-0.93941754,-1.0,0.23664719,0.0,0.0,0.0,0.0
2,2,0.9917185,-0.21877958,-0.99958056,0.55679405,-0.019771184429221832,5,13.379293306850824,-0.019771184429221832,-6.507217216448336,7.143707574386197,0.6995025558632931,-9.885592214611538e-05,-0.05060534686365023,0.12145131368208036,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,15,3000,200,200.0,200,0.0,1.2141187,-0.19310084,-1.1621926,0.5314766,-4.1388783949788115,5,-2.0045599799529628,-4.1388783949788115,-5.075953230320218,1.097896277413509,-0.0006707005994514675,-0.02069439197489406,-0.041018523546470884,0.008374548761295134,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,20,4000,200,200.0,200,0.0,102937,0.005697581000276841,34.81155457400382,1.0003806599997915,0.950916428999335,0.008222720000048866,0.013835346002451843,390.39695524700073,32.83250183800192,0.5,-0.14084786,-2.425537,0.34925458,0.0029643103,0.0009765625,8.52775e-06,0.0005146471,58.78648,48.18157,33.087093,3.8830862,120.44325,-0.525569,-72.03547,-179.19289,13.435402,-0.2953362,-72.20274,-180.55447,13.4259615,-0.5059692,-72.16564,-180.54868,13.3717785,0.3058196,0.3717764,3000,0.9999723,-0.17190377,-0.9998694,0.5474059,0.15130642,0.060417574,0.008267315,0.033774864,0.0,-0.9336714,-1.0,0.24679509,0.0,0.0,0.0,0.0
3,3,0.9863691,-0.2327184,-0.99582934,0.55671984,-3.2772736047992503,5,-2.2782451546380234,-3.2772736047992503,-4.00966790649999,0.6490215774884911,-0.0011842962583821846,-0.016386368023996248,-0.04610972453585615,0.011731194348349641,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,20,4000,200,200.0,200,0.0,1.2525482,-0.13785414,-1.2139033,0.534697,0.38836447284518466,5,18.983587651215917,0.38836447284518466,-4.98446831944086,9.315652301992316,0.7782272850237538,0.0019418223642259367,-0.04613219411433026,0.12889945968243088,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,25,5000,200,200.0,200,0.0,103937,0.0057125910025206394,39.241887759002566,1.00356885599831,0.9491857049979444,0.00826156500261277,0.01124421599888592,429.64464539900655,37.26391482600229,0.5,-0.1521218,-3.7682076,0.35181963,0.0030236111,0.0009765625,5.9320934e-07,0.0005174259,57.93353,48.295395,26.13769,4.1299076,120.49439,-0.4121739,-72.03283,-177.02222,15.848563,-0.2573321,-72.1988,-179.41377,15.862479,-0.4650044,-72.078735,-178.65923,15.852077,0.28050688,0.301805,4000,0.99999076,-0.16929947,-0.9999756,0.54692554,0.1505883,0.060153577,0.008070349,0.0336948,0.7276052,-0.92392224,-1.0,0.26596206,0.0,0.0,0.0,0.0
4,4,0.98777336,-0.30513296,-0.9983401,0.566984,-4.498459706527705,5,-3.2563100460667607,-4.498459706527705,-6.364202595794577,1.2999624902552007,-0.005848901452806619,-0.02249229853263852,-0.0522959529720526,0.010412127595779957,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,25,5000,200,200.0,200,0.0,1.242084,-0.21330117,-1.1678911,0.5527878,0.4411965729162695,5,21.858622719688142,0.4411965729162695,-6.591901129112551,10.817746206838162,0.8285374448101543,0.002205982864581351,-0.038041991050665025,0.13551962006432566,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,30,6000,200,200.0,200,0.0,104937,0.0057145760001731105,39.034252482004376,0.9550700670006336,1.0018073179999192,0.008305062001454644,0.010945546000584727,468.6871626630127,37.05240991300161,0.5,-0.14616303,-2.4466057,0.32503504,0.0030307497,0.0009765625,8.359127e-06,0.0005010993,57.684765,48.60759,31.923235,3.8226047,122.37272,-0.35639766,-73.61672,-95.34745,14.56061,0.0,-73.802734,-95.73784,14.520053,-0.41610667,-73.4879,-94.73614,14.501106,0.34272274,0.37335813,5000,0.9966123,-0.18107276,-0.999988,0.548821,0.15102336,0.059985656,0.007954847,0.03369321,0.79961854,-0.9117243,-1.0,0.2838242,0.0,0.0,0.0,0.0
5,5,0.99704987,-0.13691425,-0.99961233,0.56334496,-0.16121172335256465,5,16.504378065534073,-0.16121172335256465,-5.5851787517578275,8.362323482768968,0.8105753629668686,-0.0008060586167628224,-0.048372035755898206,0.1251014169560407,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,30,6000,200,200.0,200,0.0,1.2721488,-0.08635102,-1.1680449,0.53264046,89.53699586119895,5,437.9430417209454,89.53699586119895,-6.54624484189087,174.53727641158812,10.914039884324787,0.44768497930599466,-0.04352593222800013,2.0355635676168755,False,0.0,False,0.0,True,0.036,False,0.18629009635512025,False,0.0,False,0.0,35,7000,200,200.0,200,0.0,105937,0.0056295129979844205,35.98076478699659,1.0160860899995896,0.9792134100025578,0.008312178000778658,0.00931388299795799,504.6724157800163,33.96220971299772,0.5,-0.15499592,-2.9258652,0.32680812,0.0030633842,0.0009765625,3.2399087e-06,0.0005338881,58.47762,48.659836,30.240042,3.9220977,123.558426,-4.6333475,-74.81893,-185.87033,13.966636,-5.2823477,-74.79065,-186.77818,13.91592,-4.7306843,-74.82043,-186.05853,13.935687,0.302973,0.33430597,6000,0.9999844,-0.16728148,-0.9999795,0.5457214,0.15007262,0.05960742,0.007877518,0.033570357,0.8888887,-0.90544486,-1.0,0.2975034,0.0,0.0,0.0,0.0
6,6,0.9955843,-0.14755727,-0.9960881,0.5472614,81.18058633032351,5,382.3368497817461,81.18058633032351,-4.166066076576515,151.33878568206967,10.917358220945628,0.40590293165161767,-0.034521274853192424,1.9240551234189536,False,0.0,False,0.0,True,0.032,False,0.17600000000000002,False,0.0,False,0.0,35,7000,200,200.0,200,0.0,1.1572369,-0.21235338,-1.2284428,0.54667366,-4.7436648569893425,5,-3.3321917946027964,-4.7436648569893425,-7.539999678781733,1.5389082856647593,-0.006641960393706158,-0.02371832428494671,-0.05003297459143492,0.010098670027713535,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,40,8000,200,200.0,200,0.0,106937,0.005737067996960832,43.24141824399703,1.0174671259992465,0.891417114999058,0.008255118002125528,0.010035885999968741,547.9183151110119,41.30850593099967,0.5,-0.18659565,-1.7539825,0.34641317,0.003179157,0.0009765625,3.5037054e-05,0.00055901526,57.838783,48.91954,33.91872,3.7540674,123.52861,0.0,-74.520744,-103.4528,16.015871,0.0,-74.58394,-104.16778,15.986681,0.0,-74.52313,-104.613655,15.994423,0.36423206,0.40364987,7000,0.99757767,-0.17268613,-0.99998224,0.5494326,0.15088716,0.059581064,0.0077954493,0.0337313,0.80714256,-0.9020335,-1.0,0.30588713,0.0,0.0,0.0,0.0
7,7,0.9966065,-0.13357063,-0.9976727,0.54765546,-3.975014212085745,5,-3.035566976270604,-3.975014212085745,-4.9695602436575745,0.6723863835604164,-0.0015142694212759349,-0.019875071060428722,-0.04305438949608146,0.00943945686983839,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,40,8000,200,200.0,200,0.0,1.2497761,-0.16112806,-1.2057147,0.5618382,-4.496812437211241,5,-2.9380471897760323,-4.496812437211241,-7.406226464139888,1.559163456486912,-0.0066023704465533115,-0.022484062186056204,-0.042787664016725416,0.009432068943978288,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,45,9000,200,200.0,200,0.0,107937,0.00567159099955461,38.364570049001486,0.9742700110000442,0.904050807999738,0.008507141999871237,0.022133660000690725,586.2887587830155,36.44993683700159,0.5,-0.17729895,-1.5549011,0.33552974,0.0031140405,0.0009765625,5.1104576e-05,0.0006056874,58.22597,49.146927,34.58852,3.6225207,125.148834,-1.5419872,-75.70671,-106.39822,14.819755,-1.8277178,-75.85895,-106.51494,14.782773,-2.0788925,-75.99484,-106.347015,14.807356,0.42128706,0.5068748,8000,0.99821764,-0.16870013,-0.9999962,0.54535794,0.15028071,0.05946158,0.0077662687,0.033692002,0.0,-0.8934111,-1.0,0.30572474,0.0,0.0,0.0,0.0
8,8,0.98905915,-0.20800616,-0.99308443,0.5484445,22.26323383627715,5,116.58757380558208,22.26323383627715,-4.4116177241009185,47.30223057516238,10.907193966779865,0.11131616918138575,-0.03703109604927744,0.9864003054422181,True,0.2,False,0.4000000000000001,True,0.008,False,0.08908422980528033,False,0.0,False,0.0,45,9000,200,200.0,200,0.0,1.2418361,-0.23425272,-1.1908976,0.531704,-6.415041870934428,5,-5.5647867325859455,-6.415041870934428,-7.029000370375846,0.5094987742287562,-0.019120206437892456,-0.032075209354672125,-0.049840181160089356,0.00797661756892819,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,50,10000,200,200.0,200,0.0,108937,0.005707001000700984,38.115455389001,0.9724025939976855,0.908080435001466,0.008318026000779355,0.015285437999409623,624.4110220660259,36.20566189500096,0.5,-0.23236907,-1.7965412,0.359396,0.003429441,0.0009765625,3.471147e-05,0.0005902999,59.239834,49.256966,35.922752,3.636306,125.892075,0.0,-76.54974,-106.866104,15.649957,0.0,-76.58872,-107.55463,15.674729,0.0,-76.6413,-107.431885,15.667985,0.3774628,0.40840894,9000,0.9995622,-0.16415064,-0.9999844,0.54613733,0.15059592,0.059205722,0.0076345773,0.03368304,0.76408535,-0.89120173,-1.0,0.31230468,0.0,0.0,0.0,0.0
9,9,0.9886791,-0.21776532,-0.99909604,0.54775584,29.307485745567,5,162.01381072578712,29.307485745567,-5.435521800847842,66.35993176487567,10.867843005000061,0.14653742872783504,-0.03365978725370957,1.145533032836358,False,0.0,False,0.0,True,0.011,False,0.10430244484191155,False,0.0,False,0.0,50,10000,200,200.0,200,0.0,1.1522037,-0.2551264,-1.2093592,0.54418623,-1.3191246518492057,5,13.887175461030285,-1.3191246518492057,-6.60596753687732,7.6550336582856335,0.8053711324437827,-0.006595623259246039,-0.04839173106076481,0.11724102764212375,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,55,11000,200,200.0,200,0.0,109937,0.005652141000609845,39.49318415900052,1.0521024980007496,0.8987461540018558,0.008382089999940945,0.01011959300012677,663.9101337150241,37.51818168299724,0.5,-0.2052536,-1.8004913,0.35837743,0.0032618179,0.0009765625,3.2755055e-05,0.0005733048,58.437,49.101173,35.582043,3.8390486,126.21978,-1.4449577,-77.041794,-204.17662,16.404303,-1.764047,-77.04884,-206.45778,16.408953,-1.6906683,-77.05575,-205.81921,16.39417,0.39688283,0.46553576,10000,0.9999941,-0.16817325,-0.9999809,0.5475013,0.15046263,0.059090223,0.007569023,0.033630446,0.86636287,-0.88336766,-1.0,0.32228714,0.0,0.0,0.0,0.0
